path;PDF;original;extracted;TITLE;ABSTRACT;ABSTRACTGERMAN;KEYWORDS;AUTHORS;EMAILS;AUTHOR_EMAILS;AFFILIATIONS;AUTHOR_AFFILIATIONS;SOURCE;VOLUME;ISSUE;PAGE_FROM;PAGE_TO;YEAR;DOI;SECTIONS;REFERENCES;Precision;Recall;F1
TUW-200745;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200745.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200745-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-200745-xstream.xml");,00;0;0;NA;33,33;NA;40,00;0;0;NA;NA;NA;NA;NA;NA;NA;8,16;93,75;30,83;33,26;19,47
TUW-202824;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-202824.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-202824-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-202824-xstream.xml");100,00;0;NA;NA;57,14;0;28,57;0;0;NA;NA;NA;NA;NA;NA;NA;0;75,00;50,00;34,38;28,97
TUW-217690;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-217690.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-217690-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-217690-xstream.xml");,00;0;NA;0;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;75,00;100,00;32,00;22,22;19,44
TUW-217971;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-217971.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-217971-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-217971-xstream.xml");,00;0;NA;NA;100,00;NA;100,00;0;0;NA;NA;NA;NA;NA;NA;NA;73,68;100,00;75,56;46,25;46,71
TUW-185441;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-185441.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-185441-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-185441-xstream.xml");100,00;0;NA;NA;80,00;NA;80,00;0;0;NA;NA;NA;NA;NA;NA;NA;30,77;100,00;73,33;53,57;48,85
TUW-200959;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-200959.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-200959-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-200959-xstream.xml");,00;0;NA;NA;80,00;NA;80,00;0;0;NA;NA;NA;NA;NA;0;NA;55,56;70,37;53,24;35,60;31,77
TUW-245336;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-245336.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-245336-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-245336-xstream.xml");100,00;0;NA;NA;66,67;NA;66,67;NA;NA;NA;NA;NA;NA;NA;NA;NA;66,67;97,78;70,00;82,61;66,30
TUW-247741;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-247741.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-247741-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-247741-xstream.xml");,00;0;NA;0;33,33;NA;33,33;0;0;NA;NA;NA;NA;NA;NA;NA;52,63;100,00;45,83;23,57;24,37
TUW-205933;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-205933.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-205933-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-205933-xstream.xml");,00;0;NA;0;0;NA;0;NA;NA;0;NA;NA;NA;NA;NA;NA;33,33;76,19;40,74;12,50;13,69
TUW-236063;=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-236063.pdf");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-236063-xstream.xml");=HYPERLINK("D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\parscit\parscit-TUW-236063-xstream.xml");100,00;0;NA;NA;,00;NA;,00;0;0;NA;NA;NA;NA;NA;NA;NA;85,71;100,00;55,00;37,50;35,71
