output\result\result-TUW-233317-xstream.xml;"Christian Bors
Theresia Gschwandtner
Silvia Miksch
Johannes Gärtner
";"Christian Bors
Theresia Gschwandtner
Silvia Miksch
Johannes G ¨ Artner
";,75;,75;,75
output\result\result-TUW-233657-xstream.xml;"Tim Lammarsch
Wolfgang Aigner
Silvia Miksch
Alexander Rind
";"Tim Lammarsch
Wolfgang Aigner
Silvia Miksch
Alexander Rind
";1,00;1,00;1,00
output\result\result-TUW-236063-xstream.xml;"Margit Pohl
Lisa-Christina Winter
Chris Pallaris
Simon Attfield
B L William Wong

";"Margit Pohl
Lisa-Christina Winter
Chris Pallaris
Simon Attfield
B L William Wong

";1,00;1,00;1,00
output\result\result-TUW-236120-xstream.xml;"Markus Brunner
Monika Di Angelo
";"Markus Brunner
Monika Di Angelo
";1,00;1,00;1,00
output\result\result-TUW-237297-xstream.xml;"Hilda Tellio?lu
";"Hilda Tellio?lu
";1,00;1,00;1,00
output\result\result-TUW-240858-xstream.xml;"Marco Calautti
Georg Gottlob
Andreas Pieris
";"Marco Calautti
Georg Gottlob
Andreas Pieris
";1,00;1,00;1,00
output\result\result-TUW-245336-xstream.xml;"Geraldine Fitzpatrick
";"Geraldine Fitzpatrick
";1,00;1,00;1,00
output\result\result-TUW-245799-xstream.xml;"Elisabeta Spunei
Ion Piroi
Florina Piroi
";"";none extracted value;,00;0
output\result\result-TUW-247301-xstream.xml;"Georg Gottlob
Marco Manna
Andreas Pieris
";"Georg Gottlob
Marco Manna
Andreas Pieris
";1,00;1,00;1,00
output\result\result-TUW-247741-xstream.xml;"Abdel Aziz Taha
Allan Hanbury
Oscar A Jimenez del Toro
";"Abdel Aziz Taha
Allan Hanbury
Oscar A Jimenez Del Toro
";1,00;1,00;1,00
output\result\result-TUW-247743-xstream.xml;"Taha Abdel Aziz
";"Anleitung Von
Ao Andreas Univ
Rauber
Taha Abdel Aziz
";,25;1,00;,40
output\result\result-TUW-251544-xstream.xml;"Johann Stockinger
Gerald Futschek
";"Johann Stockinger
Gerald Futschek
";1,00;1,00;1,00
output\result\result-TUW-252847-xstream.xml;"Bogdan Ionescu
Alexandru Lucian Gînsc
Maia Zaharieva
Bogdan Boteanu
Mihai Lupu
Henning Müller
";"Bogdan Ionescu Alexandru
Lucian Gînsc
Maia Zaharieva
Bogdan Boteanu
Mihai Lupu
Henning Müller





";,36;,67;,47
output\result\result-TUW-255712-xstream.xml;"Sylwia Polberg
";"Sylwia Polberg
";1,00;1,00;1,00
output\result\result-TUW-256654-xstream.xml;"M Anton Ertl
";"M Anton Ertl
";1,00;1,00;1,00
output\result\result-TUW-257397-xstream.xml;"Markus Raab
";"Markus Raab
";1,00;1,00;1,00
output\result\result-TUW-257870-xstream.xml;"Jean D Hallewell Haslwanter
Geraldine Fitzpatrick
";"Jean D Hallewell
Geraldine Fitzpatrick
";,50;,50;,50
